X: -922, Y: 327, Z: 226
X: -922, Y: 327, Z: 226
X: -916, Y: 261, Z: 219
X: -916, Y: 261, Z: 219
X: -916, Y: 261, Z: 219
X: -916, Y: 261, Z: 219
X: -916, Y: 261, Z: 219
X: -910, Y: 184, Z: 226
X: -910, Y: 184, Z: 226
X: -910, Y: 184, Z: 226
X: -910, Y: 184, Z: 226
X: -910, Y: 184, Z: 226
X: -898, Y: 23, Z: 174
X: -898, Y: 23, Z: 174
X: -898, Y: 23, Z: 174
X: -898, Y: 23, Z: 174
X: -898, Y: 23, Z: 174
X: -874, Y: -42, Z: 129
X: -874, Y: -42, Z: 129
X: -874, Y: -42, Z: 129
X: -874, Y: -42, Z: 129
X: -874, Y: -42, Z: 129
X: -826, Y: -137, Z: 142
X: -826, Y: -137, Z: 142
X: -826, Y: -137, Z: 142
X: -826, Y: -137, Z: 142
X: -826, Y: -137, Z: 142
X: -808, Y: -215, Z: 32
X: -808, Y: -215, Z: 32
X: -808, Y: -215, Z: 32
X: -808, Y: -215, Z: 32
X: -808, Y: -215, Z: 32
X: -749, Y: -286, Z: -32
X: -749, Y: -286, Z: -32
X: -749, Y: -286, Z: -32
X: -749, Y: -286, Z: -32
X: -749, Y: -286, Z: -32
X: -695, Y: -381, Z: -77
X: -695, Y: -381, Z: -77
X: -695, Y: -381, Z: -77
X: -695, Y: -381, Z: -77
X: -695, Y: -381, Z: -77
X: -618, Y: -423, Z: -122
X: -618, Y: -423, Z: -122
X: -618, Y: -423, Z: -122
X: -618, Y: -423, Z: -122
X: -618, Y: -423, Z: -122
X: -565, Y: -470, Z: -206
X: -565, Y: -470, Z: -206
X: -565, Y: -470, Z: -206
X: -565, Y: -470, Z: -206
X: -565, Y: -470, Z: -206
X: -475, Y: -494, Z: -206
X: -475, Y: -494, Z: -206
X: -475, Y: -494, Z: -206
X: -475, Y: -494, Z: -206
X: -475, Y: -494, Z: -206
X: -410, Y: -548, Z: -226
X: -410, Y: -548, Z: -226
X: -410, Y: -548, Z: -226
X: -410, Y: -548, Z: -226
X: -410, Y: -548, Z: -226
X: -315, Y: -595, Z: -206
X: -315, Y: -595, Z: -206
X: -315, Y: -595, Z: -206
X: -315, Y: -595, Z: -206
X: -315, Y: -595, Z: -206
X: -202, Y: -637, Z: -38
X: -202, Y: -637, Z: -38
X: -202, Y: -637, Z: -38
X: -202, Y: -637, Z: -38
X: -202, Y: -637, Z: -38
X: -136, Y: -661, Z: -6
X: -136, Y: -661, Z: -6
X: -136, Y: -661, Z: -6
X: -136, Y: -661, Z: -6
X: -136, Y: -661, Z: -6
X: -95, Y: -673, Z: 12
X: -95, Y: -673, Z: 12
X: -95, Y: -673, Z: 12
